ID,offset,ms_per_beat,time_signature,meter,sample_set,sample_index,volume,effects
4834691,245,266.666666666667,4,2,1,60,1,0
4834691,289,-100,4,2,1,60,0,0
4834691,645,247.933884297521,4,2,1,60,1,0
4834691,1264,263.157894736842,4,2,1,60,1,0
4834691,1790,244.897959183673,4,2,1,60,1,0
4834691,2279,241.935483870968,4,2,1,60,1,0
4834691,3246,260.869565217391,4,2,1,60,1,0
4834691,3767,252.100840336134,4,2,1,60,1,0
4834691,4271,245.901639344262,4,2,1,60,1,0
4834691,5254,263.157894736842,4,2,1,60,1,0
4834691,5780,244.897959183673,4,2,1,60,1,0
4834691,6269,244.897959183673,4,2,1,60,1,0
4834691,7248,260.869565217391,4,2,1,60,1,0
4834691,7769,246.913580246914,4,2,1,60,1,0
4834691,8262,254.237288135593,4,2,1,60,1,0
4834691,8262,-142.857142857143,4,2,1,60,0,0
4834691,8643,252.100840336134,4,2,1,60,1,0
4834691,8643,-142.857142857143,4,2,1,60,0,0
4834691,9273,255.31914893617,4,2,1,60,1,0
4834691,9273,-142.857142857143,4,2,1,60,0,0
4834691,9783,245.901639344262,4,2,1,60,1,0
4834691,9783,-142.857142857143,4,2,1,60,0,0
4834691,10274,242.914979757085,4,2,1,60,1,0
4834691,10274,-142.857142857143,4,2,1,60,0,0
4834691,11002,257.510729613734,4,2,1,60,1,0
4834691,11259,257.510729613734,4,2,1,60,1,0
4834691,11259,-142.857142857143,4,2,1,60,0,0
4834691,12289,240.963855421687,4,2,1,60,1,0
4834691,12289,-142.857142857143,4,2,1,60,0,0
4834691,13252,263.157894736842,4,2,1,60,1,0
4834691,13252,-142.857142857143,4,2,1,60,0,0
4834691,13778,251.046025104603,4,2,1,60,1,0
4834691,13778,-142.857142857143,4,2,1,60,0,0
4834691,14280,243.90243902439,4,2,1,60,1,0
4834691,14280,-142.857142857143,4,2,1,60,0,0
4834691,15255,256.410256410256,4,2,1,60,1,0
4834691,15255,-142.857142857143,4,2,1,60,0,0
4834691,16280,246.913580246914,4,2,1,60,1,0
4834691,16280,-142.857142857143,4,2,1,60,0,0
4834691,17267,252.100840336134,4,2,1,60,1,0
4834691,17267,-142.857142857143,4,2,1,60,0,0
4834691,18275,246.913580246914,4,2,1,60,1,0
4834691,18275,-142.857142857143,4,2,1,60,0,0
4834691,20250,260.869565217391,4,2,1,60,1,0
4834691,20250,-142.857142857143,4,2,1,60,0,0
4834691,20641,248.96265560166,4,2,1,60,1,0
4834691,20641,-142.857142857143,4,2,1,60,0,0
4834691,21263,265.486725663717,4,2,1,60,1,0
4834691,21263,-142.857142857143,4,2,1,60,0,0
4834691,21793,243.90243902439,4,2,1,60,1,0
4834691,21793,-142.857142857143,4,2,1,60,0,0
4834691,22280,240,4,2,1,60,1,0
4834691,22280,-142.857142857143,4,2,1,60,0,0
4834691,23240,256.410256410256,4,2,1,60,1,0
4834691,24265,250,4,2,1,60,1,0
4834691,24265,-125,4,2,1,70,0,0
4834691,31390,-125,4,2,1,5,0,0
4834691,31515,-125,4,2,1,70,0,0
4834691,31890,-125,4,2,1,5,0,0
4834691,32015,-125,4,2,1,70,0,0
4834691,32265,-111.111111111111,4,2,1,80,0,0
4834691,40265,-111.111111111111,4,2,1,70,0,0
4834691,44265,-100,4,2,1,90,0,0
4834691,48265,-100,4,2,1,80,0,0
4834691,52431,-100,4,2,1,5,0,0
4834691,52515,-100,4,2,1,80,0,0
4834691,54265,249.687890137328,4,2,1,80,1,0
4834691,54265,-100,4,2,1,70,0,0
4834691,56262,250,4,2,1,70,1,0
4834691,56262,-90.9090909090909,4,2,1,100,0,1
4834691,72262,-90.9090909090909,4,2,1,70,0,0
4834691,79762,-90.9090909090909,4,2,1,5,0,0
